IP地址,端口,IP段,大洲,国家,城市
193.37.70.98,8443,193.37.70.0/24,EU,DE,Frankfurt am Main
5.182.87.6,46454,5.182.86.0/23,EU,DE,Frankfurt am Main
185.254.97.221,2087,185.254.96.0/22,EU,DE,Frankfurt am Main
116.203.99.143,40000,116.202.0.0/15,EU,DE,Nuremberg
147.45.196.240,2053,147.45.196.0/23,EU,DE,Frankfurt am Main
78.46.234.136,2053,78.46.0.0/15,EU,DE,Nuremberg
91.107.181.133,6956,91.107.128.0/17,EU,DE,Falkenstein
185.219.220.197,443,185.219.220.0/22,EU,DE,Frankfurt am Main
3.123.242.99,443,3.96.0.0/11,EU,DE,Frankfurt am Main
31.24.253.246,2053,31.24.253.0/24,EU,DE,Limburg an der Lahn
194.164.59.222,443,194.164.48.0/20,EU,DE,N/A
139.162.133.162,26896,139.162.0.0/16,EU,DE,Frankfurt am Main
51.195.45.137,2053,51.195.0.0/16,EU,DE,N/A
194.87.199.135,443,194.87.199.0/24,EU,DE,Frankfurt am Main
193.122.58.158,443,193.122.0.0/15,EU,DE,Frankfurt am Main
91.107.134.254,49222,91.107.128.0/17,EU,DE,Falkenstein
18.159.105.97,443,18.156.0.0/14,EU,DE,Frankfurt am Main
2.59.134.242,2002,2.59.132.0/22,EU,DE,Frankfurt am Main
104.248.128.137,443,104.248.0.0/16,EU,DE,Frankfurt am Main
77.105.146.76,2053,77.105.146.0/23,EU,DE,Frankfurt am Main
194.163.153.220,7443,194.163.128.0/18,EU,DE,Düsseldorf
217.110.20.141,443,217.110.0.0/19,EU,DE,Munich
91.107.166.111,2053,91.107.128.0/17,EU,DE,Falkenstein
